epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1630.49,1.84383,1.74917,2.32153,0.36247,0.6,0.37159,0.1325,1.85995,1.97336,2.49213,0.0003764,0.0003764,0.0003764
84,1651.39,1.73446,1.68959,2.22811,0.44011,0.6,0.40249,0.17719,1.89033,2.02165,2.55766,0.0003566,0.0003566,0.0003566
85,1671.78,1.59038,1.42278,2.04886,0.44011,0.6,0.40249,0.17719,1.89033,2.02165,2.55766,0.0003368,0.0003368,0.0003368
86,1692.5,1.81403,1.66365,2.17676,0.44011,0.6,0.40249,0.17719,1.89033,2.02165,2.55766,0.000317,0.000317,0.000317
87,1714.19,1.83393,1.57992,2.25734,0.97858,0.6,0.845,0.23987,1.91968,2.0271,2.53729,0.0002972,0.0002972,0.0002972
88,1733.82,1.69242,1.44664,2.10673,0.97858,0.6,0.845,0.23987,1.91968,2.0271,2.53729,0.0002774,0.0002774,0.0002774
89,1754.5,1.79768,1.66298,2.26609,1,0.7929,0.88591,0.25329,2.01255,1.99247,2.57217,0.0002576,0.0002576,0.0002576
90,1774.66,1.94081,1.75944,2.32703,1,0.7929,0.88591,0.25329,2.01255,1.99247,2.57217,0.0002378,0.0002378,0.0002378
91,1795.47,1.4758,1.60465,2.04347,1,0.7929,0.88591,0.25329,2.01255,1.99247,2.57217,0.000218,0.000218,0.000218
92,1816.83,1.39801,1.48439,1.99361,0.94451,0.8,0.93786,0.26191,1.99727,1.89753,2.55263,0.0001982,0.0001982,0.0001982
93,1836.84,1.66549,1.524,2.20597,0.94451,0.8,0.93786,0.26191,1.99727,1.89753,2.55263,0.0001784,0.0001784,0.0001784
94,1856.69,1.59639,1.57778,2.17987,0.94451,0.8,0.93786,0.26191,1.99727,1.89753,2.55263,0.0001586,0.0001586,0.0001586
95,1876.19,1.61793,1.44172,2.20213,0.57836,0.82586,0.88,0.27554,1.95542,1.88517,2.53143,0.0001388,0.0001388,0.0001388
96,1896.96,1.59525,1.42517,2.24099,0.57836,0.82586,0.88,0.27554,1.95542,1.88517,2.53143,0.000119,0.000119,0.000119
97,1917.91,1.49212,1.36649,2.03391,0.50053,0.80191,0.78944,0.24525,1.85139,1.86634,2.45675,9.92e-05,9.92e-05,9.92e-05
98,1937.32,1.46357,1.45796,2.02198,0.50053,0.80191,0.78944,0.24525,1.85139,1.86634,2.45675,7.94e-05,7.94e-05,7.94e-05
99,1960.93,1.51871,1.31787,2.06378,0.50053,0.80191,0.78944,0.24525,1.85139,1.86634,2.45675,5.96e-05,5.96e-05,5.96e-05
100,1983.97,1.4436,1.34003,2.03107,0.65306,0.8,0.72833,0.24131,1.8238,1.88308,2.4397,3.98e-05,3.98e-05,3.98e-05
